Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
moead_linear,14.0000,0.0076,0.0185,0.0185,0.1899,NaN,0.1901
moead_cheby,14.0000,0.0080,0.0178,0.0178,0.1883,NaN,0.1883
moead_mod_linear,14.0000,0.0077,0.0183,0.0183,0.1913,NaN,0.1901
moead_mod_cheby,14.0000,0.0076,0.0194,0.0194,0.1875,NaN,0.1877
nsga2,14.0000,0.0074,0.0246,0.0246,0.1871,NaN,0.1871
moead_linear,15.0000,0.0077,0.0187,0.0187,0.1885,NaN,0.1902
moead_cheby,15.0000,0.0080,0.0184,0.0184,0.1874,NaN,0.1884
moead_mod_linear,15.0000,0.0077,0.0192,0.0192,0.1900,NaN,0.1898
moead_mod_cheby,15.0000,0.0080,0.0193,0.0193,0.1887,NaN,0.1884
nsga2,15.0000,0.0076,0.0250,0.0250,0.1865,NaN,0.1870
moead_linear,16.0000,0.0078,0.0171,0.0171,0.1909,NaN,0.1903
moead_cheby,16.0000,0.0079,0.0194,0.0194,0.1881,NaN,0.1881
moead_mod_linear,16.0000,0.0074,0.0198,0.0198,0.1884,NaN,0.1898
moead_mod_cheby,16.0000,0.0077,0.0183,0.0183,0.1886,NaN,0.1880
nsga2,16.0000,0.0076,0.0270,0.0270,0.1855,NaN,0.1862
moead_linear,17.0000,0.0078,0.0192,0.0192,0.1890,NaN,0.1902
moead_cheby,17.0000,0.0079,0.0181,0.0181,0.1880,NaN,0.1881
moead_mod_linear,17.0000,0.0076,0.0198,0.0198,0.1904,NaN,0.1898
moead_mod_cheby,17.0000,0.0078,0.0193,0.0193,0.1864,NaN,0.1866
nsga2,17.0000,0.0077,0.0296,0.0296,0.1854,NaN,0.1857
moead_linear,18.0000,0.0074,0.0172,0.0172,0.1903,NaN,0.1904
moead_cheby,18.0000,0.0075,0.0182,0.0182,0.1892,NaN,0.1886
moead_mod_linear,18.0000,0.0077,0.0194,0.0194,0.1903,NaN,0.1897
moead_mod_cheby,18.0000,0.0080,0.0198,0.0198,0.1861,NaN,0.1870
nsga2,18.0000,0.0076,0.0293,0.0293,0.1845,NaN,0.1844
moead_linear,19.0000,0.0077,0.0184,0.0184,0.1907,NaN,0.1900
moead_cheby,19.0000,0.0079,0.0185,0.0185,0.1888,NaN,0.1877
moead_mod_linear,19.0000,0.0073,0.0189,0.0189,0.1900,NaN,0.1901
moead_mod_cheby,19.0000,0.0079,0.0190,0.0190,0.1880,NaN,0.1878
nsga2,19.0000,0.0079,0.0285,0.0285,0.1843,NaN,0.1855
moead_linear,20.0000,0.0076,0.0188,0.0188,0.1898,NaN,0.1900
moead_cheby,20.0000,0.0080,0.0186,0.0186,0.1865,NaN,0.1881
moead_mod_linear,20.0000,0.0077,0.0185,0.0185,0.1899,NaN,0.1900
moead_mod_cheby,20.0000,0.0078,0.0186,0.0186,0.1882,NaN,0.1880
nsga2,20.0000,0.0076,0.0267,0.0267,0.1852,NaN,0.1845
moead_linear,21.0000,0.0077,0.0193,0.0193,0.1902,NaN,0.1899
moead_cheby,21.0000,0.0079,0.0183,0.0183,0.1881,NaN,0.1887
moead_mod_linear,21.0000,0.0076,0.0184,0.0184,0.1913,NaN,0.1900
moead_mod_cheby,21.0000,0.0081,0.0185,0.0185,0.1869,NaN,0.1879
nsga2,21.0000,0.0079,0.0298,0.0298,0.1860,NaN,0.1862
moead_linear,22.0000,0.0075,0.0184,0.0184,0.1904,NaN,0.1901
moead_cheby,22.0000,0.0077,0.0186,0.0186,0.1893,NaN,0.1889
moead_mod_linear,22.0000,0.0077,0.0190,0.0190,0.1895,NaN,0.1900
moead_mod_cheby,22.0000,0.0078,0.0190,0.0190,0.1861,NaN,0.1873
nsga2,22.0000,0.0081,0.0271,0.0271,0.1865,NaN,0.1861
moead_linear,23.0000,0.0078,0.0180,0.0180,0.1902,NaN,0.1903
moead_cheby,23.0000,0.0080,0.0186,0.0186,0.1880,NaN,0.1877
moead_mod_linear,23.0000,0.0077,0.0189,0.0189,0.1916,NaN,0.1899
moead_mod_cheby,23.0000,0.0081,0.0200,0.0200,0.1866,NaN,0.1875
nsga2,23.0000,0.0080,0.0282,0.0282,0.1876,NaN,0.1868
moead_linear,24.0000,0.0074,0.0182,0.0182,0.1896,NaN,0.1901
moead_cheby,24.0000,0.0078,0.0187,0.0187,0.1871,NaN,0.1880
moead_mod_linear,24.0000,0.0075,0.0194,0.0194,0.1891,NaN,0.1899
moead_mod_cheby,24.0000,0.0078,0.0202,0.0202,0.1873,NaN,0.1869
nsga2,24.0000,0.0079,0.0293,0.0293,0.1852,NaN,0.1853
moead_linear,25.0000,0.0076,0.0177,0.0177,0.1885,NaN,0.1902
moead_cheby,25.0000,0.0078,0.0183,0.0183,0.1886,NaN,0.1878
moead_mod_linear,25.0000,0.0075,0.0195,0.0195,0.1901,NaN,0.1892
moead_mod_cheby,25.0000,0.0077,0.0187,0.0187,0.1869,NaN,0.1869
nsga2,25.0000,0.0078,0.0240,0.0240,0.1883,NaN,0.1875
moead_linear,26.0000,0.0077,0.0180,0.0180,0.1896,NaN,0.1904
moead_cheby,26.0000,0.0081,0.0185,0.0185,0.1891,NaN,0.1886
moead_mod_linear,26.0000,0.0078,0.0184,0.0184,0.1886,NaN,0.1898
moead_mod_cheby,26.0000,0.0079,0.0199,0.0199,0.1887,NaN,0.1877
nsga2,26.0000,0.0079,0.0252,0.0252,0.1873,NaN,0.1863
moead_linear,27.0000,0.0076,0.0177,0.0177,0.1896,NaN,0.1903
moead_cheby,27.0000,0.0077,0.0184,0.0184,0.1884,NaN,0.1880
moead_mod_linear,27.0000,0.0077,0.0205,0.0205,0.1904,NaN,0.1897
moead_mod_cheby,27.0000,0.0078,0.0188,0.0188,0.1866,NaN,0.1873
nsga2,27.0000,0.0077,0.0310,0.0310,0.1856,NaN,0.1854
moead_linear,28.0000,0.0080,0.0184,0.0184,0.1906,NaN,0.1901
moead_cheby,28.0000,0.0081,0.0185,0.0185,0.1878,NaN,0.1882
moead_mod_linear,28.0000,0.0076,0.0188,0.0188,0.1898,NaN,0.1900
moead_mod_cheby,28.0000,0.0078,0.0187,0.0187,0.1882,NaN,0.1873
nsga2,28.0000,0.0077,0.0260,0.0260,0.1870,NaN,0.1873
moead_linear,29.0000,0.0079,0.0176,0.0176,0.1911,NaN,0.1905
moead_cheby,29.0000,0.0075,0.0187,0.0187,0.1874,NaN,0.1874
moead_mod_linear,29.0000,0.0076,0.0187,0.0187,0.1906,NaN,0.1899
moead_mod_cheby,29.0000,0.0077,0.0198,0.0198,0.1871,NaN,0.1871
nsga2,29.0000,0.0079,0.0276,0.0276,0.1866,NaN,0.1859
moead_linear,30.0000,0.0075,0.0175,0.0175,0.1897,NaN,0.1904
moead_cheby,30.0000,0.0078,0.0186,0.0186,0.1877,NaN,0.1885
moead_mod_linear,30.0000,0.0078,0.0193,0.0193,0.1907,NaN,0.1896
moead_mod_cheby,30.0000,0.0077,0.0205,0.0205,0.1854,NaN,0.1869
nsga2,30.0000,0.0080,0.0279,0.0279,0.1845,NaN,0.1846
