Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
moead_mod_cheby,5.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,5.0000,0.0004,0.0024,0.0024,0.5403,0.5403,0.5403
moead_linear,6.0000,0.0004,0.0092,0.0092,0.5313,0.5313,0.5313
moead_cheby,6.0000,0.0028,0.0023,0.0028,0.7992,0.5406,0.5406
moead_mod_linear,6.0000,0.0008,0.0185,0.0185,0.5132,0.5132,0.5132
moead_mod_cheby,6.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
nsga2,6.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,7.0000,0.0005,0.0092,0.0092,0.5309,0.5309,0.5309
moead_cheby,7.0000,0.0004,0.0025,0.0025,0.5404,0.5404,0.5404
moead_mod_linear,7.0000,0.0009,0.0080,0.0080,0.5317,0.5317,0.5317
moead_mod_cheby,7.0000,0.0004,0.0028,0.0028,0.5403,0.5403,0.5403
nsga2,7.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
moead_linear,8.0000,0.0005,0.0032,0.0032,0.5393,0.5393,0.5393
moead_cheby,8.0000,0.0017,0.0023,0.0023,0.7221,0.5405,0.5405
moead_mod_linear,8.0000,0.0004,0.0503,0.0503,0.4785,0.4785,0.4785
moead_mod_cheby,8.0000,0.0004,0.0025,0.0025,0.5404,0.5404,0.5404
nsga2,8.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
moead_linear,9.0000,0.0004,0.0033,0.0033,0.5398,0.5398,0.5398
moead_cheby,9.0000,0.0014,0.0023,0.0023,0.6456,0.5406,0.5406
moead_mod_linear,9.0000,0.0004,0.0027,0.0027,0.5400,0.5400,0.5400
moead_mod_cheby,9.0000,0.0004,0.0025,0.0025,0.5405,0.5405,0.5405
nsga2,9.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_linear,10.0000,0.0005,0.0027,0.0027,0.5399,0.5399,0.5399
moead_cheby,10.0000,0.0004,0.0024,0.0024,0.5406,0.5406,0.5406
moead_mod_linear,10.0000,0.0011,0.0082,0.0082,0.5307,0.5307,0.5307
moead_mod_cheby,10.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,10.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_linear,11.0000,0.0005,0.0033,0.0033,0.5393,0.5393,0.5393
moead_cheby,11.0000,0.0004,0.0024,0.0024,0.5403,0.5403,0.5403
moead_mod_linear,11.0000,0.0004,0.0221,0.0221,0.5140,0.5140,0.5140
moead_mod_cheby,11.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,11.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_linear,12.0000,0.0005,0.0042,0.0042,0.5380,0.5380,0.5380
moead_cheby,12.0000,0.0017,0.0024,0.0024,0.5739,0.5405,0.5405
moead_mod_linear,12.0000,0.0008,0.0048,0.0048,0.5367,0.5367,0.5367
moead_mod_cheby,12.0000,0.0004,0.0028,0.0028,0.5402,0.5402,0.5402
nsga2,12.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
moead_linear,13.0000,0.0005,0.0029,0.0029,0.5396,0.5396,0.5396
moead_cheby,13.0000,0.0035,0.0023,0.0035,1.1186,0.5404,0.5404
moead_mod_linear,13.0000,0.0012,0.0048,0.0048,0.5367,0.5367,0.5367
moead_mod_cheby,13.0000,0.0039,0.0028,0.0039,0.8890,0.5400,0.5400
nsga2,13.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,14.0000,0.0004,0.0027,0.0027,0.5401,0.5401,0.5401
moead_cheby,14.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_mod_linear,14.0000,0.0007,0.0034,0.0034,0.5385,0.5385,0.5385
moead_mod_cheby,14.0000,0.0004,0.0027,0.0027,0.5403,0.5403,0.5403
nsga2,14.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_linear,15.0000,0.0004,0.0034,0.0034,0.5391,0.5391,0.5391
moead_cheby,15.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_mod_linear,15.0000,0.0008,0.0242,0.0242,0.5059,0.5059,0.5059
moead_mod_cheby,15.0000,0.0004,0.0027,0.0027,0.5400,0.5400,0.5400
nsga2,15.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,16.0000,0.0008,0.0093,0.0093,0.5290,0.5290,0.5290
moead_cheby,16.0000,0.0024,0.0022,0.0024,0.8707,0.5406,0.5406
moead_mod_linear,16.0000,0.0014,0.0295,0.0295,0.5014,0.5014,0.5014
moead_mod_cheby,16.0000,0.0004,0.0027,0.0027,0.5401,0.5401,0.5401
nsga2,16.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_linear,17.0000,0.0004,0.0045,0.0045,0.5373,0.5373,0.5373
moead_cheby,17.0000,0.0009,0.0023,0.0023,0.5405,0.5405,0.5405
moead_mod_linear,17.0000,0.0006,0.0148,0.0148,0.5222,0.5222,0.5222
moead_mod_cheby,17.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,17.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,18.0000,0.0004,0.0108,0.0108,0.5295,0.5295,0.5295
moead_cheby,18.0000,0.0032,0.0023,0.0032,1.0405,0.5405,0.5405
moead_mod_linear,18.0000,0.0004,0.0042,0.0042,0.5379,0.5379,0.5379
moead_mod_cheby,18.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
nsga2,18.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
moead_linear,19.0000,0.0005,0.0034,0.0034,0.5393,0.5393,0.5393
moead_cheby,19.0000,0.0018,0.0025,0.0025,0.7445,0.5403,0.5403
moead_mod_linear,19.0000,0.0013,0.0105,0.0105,0.5292,0.5292,0.5292
moead_mod_cheby,19.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
nsga2,19.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
moead_linear,20.0000,0.0004,0.0167,0.0167,0.5212,0.5212,0.5212
moead_cheby,20.0000,0.0059,0.0024,0.0059,1.3617,0.5405,0.5405
moead_mod_linear,20.0000,0.0004,0.0251,0.0251,0.5103,0.5103,0.5103
moead_mod_cheby,20.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,20.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_linear,21.0000,0.0007,0.0066,0.0066,0.5343,0.5343,0.5343
moead_cheby,21.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_mod_linear,21.0000,0.0011,0.0052,0.0052,0.5360,0.5360,0.5360
moead_mod_cheby,21.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,21.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,22.0000,0.0004,0.0042,0.0042,0.5379,0.5379,0.5379
moead_cheby,22.0000,0.0074,0.0023,0.0074,1.3972,0.5404,0.5404
moead_mod_linear,22.0000,0.0004,0.0462,0.0462,0.4848,0.4848,0.4848
moead_mod_cheby,22.0000,0.0004,0.0025,0.0025,0.5403,0.5403,0.5403
nsga2,22.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,23.0000,0.0004,0.0036,0.0036,0.5386,0.5386,0.5386
moead_cheby,23.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_mod_linear,23.0000,0.0010,0.0315,0.0315,0.4958,0.4958,0.4958
moead_mod_cheby,23.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,23.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_linear,24.0000,0.0008,0.0081,0.0081,0.5315,0.5315,0.5315
moead_cheby,24.0000,0.0044,0.0025,0.0044,0.9481,0.5404,0.5404
moead_mod_linear,24.0000,0.0005,0.0140,0.0140,0.5254,0.5254,0.5254
moead_mod_cheby,24.0000,0.0004,0.0027,0.0027,0.5402,0.5402,0.5402
nsga2,24.0000,0.0004,0.0023,0.0023,0.5404,0.5404,0.5404
moead_linear,25.0000,0.0006,0.0033,0.0033,0.5390,0.5390,0.5390
moead_cheby,25.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_mod_linear,25.0000,0.0009,0.0263,0.0263,0.5029,0.5029,0.5029
moead_mod_cheby,25.0000,0.0004,0.0027,0.0027,0.5402,0.5402,0.5402
nsga2,25.0000,0.0004,0.0025,0.0025,0.5402,0.5402,0.5402
moead_linear,26.0000,0.0008,0.0061,0.0061,0.5347,0.5347,0.5347
moead_cheby,26.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_mod_linear,26.0000,0.0008,0.0102,0.0102,0.5285,0.5285,0.5285
moead_mod_cheby,26.0000,0.0004,0.0026,0.0026,0.5403,0.5403,0.5403
nsga2,26.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,27.0000,0.0005,0.0034,0.0034,0.5397,0.5397,0.5397
moead_cheby,27.0000,0.0004,0.0024,0.0024,0.5406,0.5406,0.5406
moead_mod_linear,27.0000,0.0005,0.0260,0.0260,0.5048,0.5048,0.5048
moead_mod_cheby,27.0000,0.0004,0.0028,0.0028,0.5400,0.5400,0.5400
nsga2,27.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_linear,28.0000,0.0004,0.0130,0.0130,0.5264,0.5264,0.5264
moead_cheby,28.0000,0.0046,0.0023,0.0046,1.3641,0.5405,0.5405
moead_mod_linear,28.0000,0.0006,0.0170,0.0170,0.5204,0.5204,0.5204
moead_mod_cheby,28.0000,0.0004,0.0026,0.0026,0.5404,0.5404,0.5404
nsga2,28.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,29.0000,0.0004,0.0153,0.0153,0.5221,0.5221,0.5221
moead_cheby,29.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_mod_linear,29.0000,0.0013,0.0111,0.0111,0.5263,0.5263,0.5263
moead_mod_cheby,29.0000,0.0004,0.0026,0.0026,0.5402,0.5402,0.5402
nsga2,29.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_linear,30.0000,0.0005,0.0034,0.0034,0.5388,0.5388,0.5388
moead_cheby,30.0000,0.0004,0.0023,0.0023,0.5405,0.5405,0.5405
moead_mod_linear,30.0000,0.0004,0.0213,0.0213,0.5151,0.5151,0.5151
moead_mod_cheby,30.0000,0.0004,0.0025,0.0025,0.5404,0.5404,0.5404
nsga2,30.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
