Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
nsga2,6.0000,0.0022,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,7.0000,0.0025,0.1908,0.1908,1.3304,1.3304,0.7812
moead_cheby,7.0000,0.0023,0.1906,0.1906,1.3305,1.3305,0.7812
moead_mod_linear,7.0000,0.0023,0.1916,0.1916,1.3303,1.3303,0.7811
moead_mod_cheby,7.0000,0.0022,0.1906,0.1906,1.3304,1.3304,0.7812
nsga2,7.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,8.0000,0.0065,0.1907,0.1907,2.0727,1.3304,0.7812
moead_cheby,8.0000,0.0037,0.1906,0.1906,1.5085,1.3304,0.7812
moead_mod_linear,8.0000,0.0024,0.1918,0.1918,1.3304,1.3304,0.7812
moead_mod_cheby,8.0000,0.0021,0.1906,0.1906,1.3304,1.3304,0.7812
nsga2,8.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,9.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_cheby,9.0000,0.0032,0.1906,0.1906,1.4322,1.3304,0.7812
moead_mod_linear,9.0000,0.0022,0.1915,0.1915,1.3303,1.3303,0.7811
moead_mod_cheby,9.0000,0.0021,0.1908,0.1908,1.3303,1.3303,0.7812
nsga2,9.0000,0.0022,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,10.0000,0.0021,0.1906,0.1906,1.3305,1.3305,0.7812
moead_cheby,10.0000,0.0023,0.1907,0.1907,1.3305,1.3305,0.7812
moead_mod_linear,10.0000,0.0021,0.1910,0.1910,1.3303,1.3303,0.7811
moead_mod_cheby,10.0000,0.0024,0.1908,0.1908,1.3303,1.3303,0.7811
nsga2,10.0000,0.0024,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,11.0000,0.0022,0.1908,0.1908,1.3303,1.3303,0.7811
moead_cheby,11.0000,0.0023,0.1906,0.1906,1.3304,1.3304,0.7812
moead_mod_linear,11.0000,0.0022,0.1917,0.1917,1.3303,1.3303,0.7811
moead_mod_cheby,11.0000,0.0030,0.1907,0.1907,1.3805,1.3303,0.7811
nsga2,11.0000,0.0024,0.1908,0.1908,1.3302,1.3302,0.7811
moead_linear,12.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
moead_cheby,12.0000,0.0036,0.1907,0.1907,1.3594,1.3304,0.7812
moead_mod_linear,12.0000,0.0023,0.1908,0.1908,1.3304,1.3304,0.7812
moead_mod_cheby,12.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,12.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,13.0000,0.0025,0.1907,0.1907,1.3304,1.3304,0.7812
moead_cheby,13.0000,0.0037,0.1907,0.1907,1.5205,1.3304,0.7812
moead_mod_linear,13.0000,0.0022,0.1916,0.1916,1.3303,1.3303,0.7811
moead_mod_cheby,13.0000,0.0055,0.1908,0.1908,1.6695,1.3302,0.7811
nsga2,13.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,14.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
moead_cheby,14.0000,0.0043,0.1906,0.1906,1.7279,1.3305,0.7812
moead_mod_linear,14.0000,0.0022,0.1916,0.1916,1.3304,1.3304,0.7812
moead_mod_cheby,14.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,14.0000,0.0025,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,15.0000,0.0022,0.1908,0.1908,1.3303,1.3303,0.7811
moead_cheby,15.0000,0.0022,0.1906,0.1906,1.3305,1.3305,0.7812
moead_mod_linear,15.0000,0.0022,0.1919,0.1919,1.3304,1.3304,0.7812
moead_mod_cheby,15.0000,0.0026,0.1908,0.1908,1.3302,1.3302,0.7810
nsga2,15.0000,0.0024,0.1908,0.1908,1.3302,1.3302,0.7811
moead_linear,16.0000,0.0023,0.1908,0.1908,1.3304,1.3304,0.7812
moead_cheby,16.0000,0.0042,0.1907,0.1907,1.6595,1.3304,0.7812
moead_mod_linear,16.0000,0.0023,0.1952,0.1952,1.3292,1.3292,0.7805
moead_mod_cheby,16.0000,0.0024,0.1908,0.1908,1.3304,1.3304,0.7812
nsga2,16.0000,0.0023,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,17.0000,0.0022,0.1908,0.1908,1.3304,1.3304,0.7812
moead_cheby,17.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,17.0000,0.0022,0.1910,0.1910,1.3303,1.3303,0.7811
moead_mod_cheby,17.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,17.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,18.0000,0.0023,0.1908,0.1908,1.3304,1.3304,0.7812
moead_cheby,18.0000,0.0052,0.1907,0.1907,1.8264,1.3303,0.7811
moead_mod_linear,18.0000,0.0022,0.1914,0.1914,1.3302,1.3302,0.7811
moead_mod_cheby,18.0000,0.0024,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,18.0000,0.0022,0.1906,0.1906,1.3304,1.3304,0.7812
moead_linear,19.0000,0.0022,0.1906,0.1906,1.3304,1.3304,0.7812
moead_cheby,19.0000,0.0037,0.1906,0.1906,1.5346,1.3305,0.7812
moead_mod_linear,19.0000,0.0023,0.1909,0.1909,1.3304,1.3304,0.7812
moead_mod_cheby,19.0000,0.0022,0.1907,0.1907,1.3303,1.3303,0.7811
nsga2,19.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,20.0000,0.0085,0.1908,0.1908,2.3130,1.3304,0.7812
moead_cheby,20.0000,0.0064,0.1907,0.1907,2.1475,1.3304,0.7812
moead_mod_linear,20.0000,0.0023,0.1911,0.1911,1.3302,1.3302,0.7811
moead_mod_cheby,20.0000,0.0022,0.1907,0.1907,1.3303,1.3303,0.7811
nsga2,20.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,21.0000,0.0070,0.1908,0.1908,1.6513,1.3304,0.7812
moead_cheby,21.0000,0.0024,0.1906,0.1906,1.3304,1.3304,0.7812
moead_mod_linear,21.0000,0.0021,0.1913,0.1913,1.3305,1.3305,0.7812
moead_mod_cheby,21.0000,0.0022,0.1907,0.1907,1.3303,1.3303,0.7811
nsga2,21.0000,0.0022,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,22.0000,0.0025,0.1908,0.1908,1.3304,1.3304,0.7812
moead_cheby,22.0000,0.0067,0.1907,0.1907,2.1860,1.3304,0.7812
moead_mod_linear,22.0000,0.0021,0.1910,0.1910,1.3305,1.3305,0.7812
moead_mod_cheby,22.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,22.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,23.0000,0.0038,0.1908,0.1908,1.5530,1.3304,0.7812
moead_cheby,23.0000,0.0078,0.1907,0.1907,2.4448,1.3305,0.7812
moead_mod_linear,23.0000,0.0023,0.1920,0.1920,1.3303,1.3303,0.7811
moead_mod_cheby,23.0000,0.0023,0.1908,0.1908,1.3301,1.3301,0.7810
nsga2,23.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,24.0000,0.0024,0.1907,0.1907,1.3305,1.3305,0.7812
moead_cheby,24.0000,0.0063,0.1907,0.1907,1.7368,1.3304,0.7812
moead_mod_linear,24.0000,0.0022,0.1927,0.1927,1.3266,1.3266,0.7790
moead_mod_cheby,24.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,24.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,25.0000,0.0022,0.1909,0.1909,1.3303,1.3303,0.7811
moead_cheby,25.0000,0.0021,0.1906,0.1906,1.3304,1.3304,0.7812
moead_mod_linear,25.0000,0.0022,0.1916,0.1916,1.3304,1.3304,0.7812
moead_mod_cheby,25.0000,0.0022,0.1907,0.1907,1.3303,1.3303,0.7811
nsga2,25.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,26.0000,0.0055,0.1909,0.1909,1.7025,1.3304,0.7812
moead_cheby,26.0000,0.0024,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,26.0000,0.0022,0.1912,0.1912,1.3302,1.3302,0.7811
moead_mod_cheby,26.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,26.0000,0.0025,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,27.0000,0.0023,0.1908,0.1908,1.3304,1.3304,0.7812
moead_cheby,27.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,27.0000,0.0023,0.1910,0.1910,1.3304,1.3304,0.7812
moead_mod_cheby,27.0000,0.0023,0.1907,0.1907,1.3303,1.3303,0.7811
nsga2,27.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7811
moead_linear,28.0000,0.0023,0.1907,0.1907,1.3305,1.3305,0.7812
moead_cheby,28.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,28.0000,0.0024,0.1937,0.1937,1.3302,1.3302,0.7811
moead_mod_cheby,28.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,28.0000,0.0024,0.1907,0.1907,1.3304,1.3304,0.7812
moead_linear,29.0000,0.0023,0.1907,0.1907,1.3305,1.3305,0.7812
moead_cheby,29.0000,0.0023,0.1907,0.1907,1.3305,1.3305,0.7812
moead_mod_linear,29.0000,0.0024,0.1917,0.1917,1.3303,1.3303,0.7811
moead_mod_cheby,29.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,29.0000,0.0024,0.1907,0.1907,1.3303,1.3303,0.7812
moead_linear,30.0000,0.0036,0.1907,0.1907,1.4906,1.3305,0.7812
moead_cheby,30.0000,0.0022,0.1907,0.1907,1.3304,1.3304,0.7812
moead_mod_linear,30.0000,0.0021,0.1924,0.1924,1.3305,1.3305,0.7812
moead_mod_cheby,30.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
nsga2,30.0000,0.0023,0.1907,0.1907,1.3304,1.3304,0.7812
