Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles
nsga2,25.0000,0.0004,0.0101,0.0101,0.8641,0.8641
moead_cheby,26.0000,0.0009,0.0092,0.0092,0.8650,0.8650
moead_linear,26.0000,0.0071,0.0090,0.0090,1.1119,0.8649
moead_mod_cheby,26.0000,0.0004,0.0112,0.0112,0.8624,0.8624
moead_mod_linear,26.0000,0.0003,0.0091,0.0091,0.8644,0.8644
nsga2,26.0000,0.0004,0.0103,0.0103,0.8638,0.8638
moead_cheby,27.0000,0.0009,0.0092,0.0092,0.8651,0.8651
moead_linear,27.0000,0.0006,0.0088,0.0088,0.8657,0.8657
moead_mod_cheby,27.0000,0.0006,0.0102,0.0102,0.8636,0.8636
moead_mod_linear,27.0000,0.0005,0.0094,0.0094,0.8638,0.8638
nsga2,27.0000,0.0004,0.0096,0.0096,0.8639,0.8639
moead_cheby,28.0000,0.0009,0.0094,0.0094,0.8645,0.8645
moead_linear,28.0000,0.0005,0.0086,0.0086,0.8657,0.8657
moead_mod_cheby,28.0000,0.0005,0.0110,0.0110,0.8619,0.8619
moead_mod_linear,28.0000,0.0003,0.0088,0.0088,0.8642,0.8642
nsga2,28.0000,0.0010,0.0100,0.0100,0.8638,0.8638
moead_cheby,29.0000,0.0113,0.0099,0.0113,1.3505,0.8641
moead_linear,29.0000,0.0015,0.0098,0.0098,0.8645,0.8645
moead_mod_cheby,29.0000,0.0005,0.0113,0.0113,0.8624,0.8624
moead_mod_linear,29.0000,0.0003,0.0086,0.0086,0.8651,0.8651
nsga2,29.0000,0.0005,0.0089,0.0089,0.8652,0.8652
moead_cheby,30.0000,0.0006,0.0092,0.0092,0.8651,0.8651
moead_linear,30.0000,0.0013,0.0092,0.0092,0.8650,0.8650
moead_mod_cheby,30.0000,0.0007,0.0097,0.0097,0.8643,0.8643
moead_mod_linear,30.0000,0.0004,0.0083,0.0083,0.8660,0.8660
nsga2,30.0000,0.0004,0.0098,0.0098,0.8641,0.8641
